      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2391           0.1380            0.12s
         2           1.1192           0.1037            0.10s
         3           1.0267           0.0971            0.08s
         4           0.9493           0.0799            0.06s
         5           0.8860           0.0710            0.05s
         6           0.8243           0.0511            0.03s
         7           0.7709           0.0446            0.01s
         8           0.7319           0.0451            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2366           0.1361            0.11s
         2           1.1223           0.1097            0.09s
         3           1.0310           0.0947            0.08s
         4           0.9525           0.0791            0.06s
         5           0.8874           0.0686            0.05s
         6           0.8280           0.0532            0.03s
         7           0.7701           0.0363            0.02s
         8           0.7305           0.0488            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2308           0.1391            0.11s
         2           1.1167           0.1133            0.05s
         3           1.0258           0.0980            0.19s
         4           0.9470           0.0805            0.14s
         5           0.8734           0.0590            0.13s
         6           0.8191           0.0634            0.08s
         7           0.7730           0.0541            0.04s
         8           0.7281           0.0405            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2353           0.1386            0.11s
         2           1.1202           0.1076            0.09s
         3           1.0311           0.1025            0.08s
         4           0.9504           0.0750            0.06s
         5           0.8822           0.0643            0.05s
         6           0.8271           0.0610            0.03s
         7           0.7754           0.0425            0.02s
         8           0.7338           0.0434            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2358           0.1377            0.13s
         2           1.1190           0.1039            0.10s
         3           1.0284           0.1000            0.07s
         4           0.9538           0.0874            0.06s
         5           0.8807           0.0528            0.05s
         6           0.8200           0.0492            0.03s
         7           0.7731           0.0534            0.02s
         8           0.7291           0.0420            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2341           0.1407            0.12s
         2           1.1214           0.1164            0.10s
         3           1.0273           0.0955            0.08s
         4           0.9457           0.0742            0.07s
         5           0.8745           0.0612            0.05s
         6           0.8231           0.0709            0.03s
         7           0.7665           0.0326            0.02s
         8           0.7249           0.0461            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2331           0.1394            0.11s
         2           1.1214           0.1167            0.10s
         3           1.0308           0.1014            0.08s
         4           0.9517           0.0766            0.07s
         5           0.8854           0.0664            0.05s
         6           0.8278           0.0544            0.03s
         7           0.7758           0.0430            0.02s
         8           0.7337           0.0433            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2337           0.1377            0.11s
