      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2346           0.1392            0.10s
         2           1.1202           0.1106            0.08s
         3           1.0253           0.0915            0.07s
         4           0.9485           0.0819            0.06s
         5           0.8862           0.0723            0.05s
         6           0.8222           0.0474            0.03s
         7           0.7791           0.0565            0.02s
         8           0.7367           0.0396            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2310           0.1381            0.07s
         2           1.1165           0.1115            0.08s
         3           1.0232           0.0952            0.08s
         4           0.9419           0.0778            0.06s
         5           0.8766           0.0711            0.04s
         6           0.8122           0.0481            0.03s
         7           0.7674           0.0560            0.01s
         8           0.7351           0.0557            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2354           0.1387            0.11s
         2           1.1198           0.1081            0.10s
         3           1.0316           0.1000            0.07s
         4           0.9472           0.0697            0.05s
         5           0.8857           0.0731            0.04s
         6           0.8283           0.0553            0.03s
         7           0.7797           0.0488            0.01s
         8           0.7356           0.0402            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2332           0.1378            0.11s
         2           1.1211           0.1145            0.08s
         3           1.0284           0.0936            0.05s
         4           0.9476           0.0745            0.05s
         5           0.8844           0.0757            0.04s
         6           0.8279           0.0569            0.03s
         7           0.7827           0.0560            0.01s
         8           0.7376           0.0353            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2348           0.1403            0.13s
         2           1.1206           0.1120            0.10s
         3           1.0264           0.0938            0.08s
         4           0.9456           0.0759            0.06s
         5           0.8760           0.0635            0.04s
         6           0.8184           0.0574            0.03s
         7           0.7702           0.0526            0.01s
         8           0.7315           0.0497            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2371           0.1369            0.16s
         2           1.1207           0.1048            0.09s
         3           1.0293           0.0976            0.08s
         4           0.9496           0.0750            0.06s
         5           0.8796           0.0580            0.05s
         6           0.8268           0.0647            0.03s
         7           0.7791           0.0528            0.01s
         8           0.7316           0.0295            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2319           0.1390            0.08s
         2           1.1216           0.1204            0.11s
         3           1.0242           0.0817            0.10s
         4           0.9495           0.0886            0.08s
         5           0.8847           0.0718            0.06s
         6           0.8236           0.0434            0.04s
         7           0.7766           0.0582            0.02s
         8           0.7409           0.0596            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2339           0.1393            0.11s
         2           1.1184           0.1078            0.09s
         3           1.0245           0.0929            0.08s
         4           0.9493           0.0901            0.05s
         5           0.8827           0.0681            0.04s
         6           0.8262           0.0580            0.03s
         7           0.7755           0.0443            0.01s
         8           0.7337           0.0440            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2344           0.1390            0.11s
         2           1.1208           0.1099            0.09s
         3           1.0277           0.0925            0.08s
         4           0.9522           0.0852            0.06s
         5           0.8875           0.0703            0.05s
         6           0.8250           0.0403            0.03s
         7           0.7782           0.0535            0.02s
         8           0.7356           0.0399            0.00s
      Iter       Train Loss      OOB Improve   Remaining Time 
         1           1.2328           0.1350            0.11s
         2           1.1210           0.1181            0.09s
         3           1.0270           0.0897            0.09s
